"Bot Name:","Travel Assistant"
"Report name:","Successful user utterances"
"Bot Language:","en"
"Run Type:","inDevelopment"
"Threshold Setting","Mode","minThreshold","maxThreshold","exactMatchThreshold","isActive","taskMatchTolerance","wordCoverage","suggestionsCount","pathCoverage"
"","ml","0.3","80","95","true","","","",""
"","faq","60","80","95","true","5","","3","50"
"","cs","60","80","","true","","60","",""
"","rr","","","","true","2","","",""
"Last tested date and time:","05-18-2022 9:22:52 AM"
"Utterance count:","383"
"Percentage breakdown:","97.39% True Positive","0.00% True Negative","2.61% False Positive","0.00% False Negative"
"Success / Failure Ratio:","97.39"
"F1 Score:","0.99"
"Precision:","0.97"
"Recall:","1.00"
"Utterance","ExpectedIntent","MatchedIntent","Parent Intent","TaskState","ResultType","Matched Intent's Score","Expected Intent's Score"
"fwtch booking details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9127155358604715; FM: 12282.22; RR: 12282.22","ML: 0.9127155358604715; FM: 12282.22; RR: 12282.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","FM: 12312.22; RR: 12312.22","FM: 12312.22; RR: 12312.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","FM: 12312.22; RR: 12312.22","FM: 12312.22; RR: 12312.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","FM: 12312.22; RR: 12312.22","FM: 12312.22; RR: 12312.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","FM: 12312.22; RR: 12312.22","FM: 12312.22; RR: 12312.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","FM: 12312.22; RR: 12312.22","FM: 12312.22; RR: 12312.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","FM: 12312.22; RR: 12312.22","FM: 12312.22; RR: 12312.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","FM: 12312.22; RR: 12312.22","FM: 12312.22; RR: 12312.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","FM: 12312.22; RR: 12312.22","FM: 12312.22; RR: 12312.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","FM: 12312.22; RR: 12312.22","FM: 12312.22; RR: 12312.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","FM: 12312.22; RR: 12312.22","FM: 12312.22; RR: 12312.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","FM: 12312.22; RR: 12312.22","FM: 12312.22; RR: 12312.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","FM: 12312.22; RR: 12312.22","FM: 12312.22; RR: 12312.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","FM: 12312.22; RR: 12312.22","FM: 12312.22; RR: 12312.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","FM: 12312.22; RR: 12312.22","FM: 12312.22; RR: 12312.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","FM: 12312.22; RR: 12312.22","FM: 12312.22; RR: 12312.22"
"book flight","book flight","book flight","None","configured","TP","ML: 0.9083987846915441; FM: 11910; RR: 11910","ML: 0.9083987846915441; FM: 11910; RR: 11910"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","FM: 12312.22; RR: 12312.22","FM: 12312.22; RR: 12312.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","FM: 12312.22; RR: 12312.22","FM: 12312.22; RR: 12312.22"
"Fetch Booking Details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12112.22; RR: 12112.22","ML: 0.9974730467356652; FM: 12112.22; RR: 12112.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","FM: 12312.22; RR: 12312.22","FM: 12312.22; RR: 12312.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","FM: 12312.22; RR: 12312.22","FM: 12312.22; RR: 12312.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22"
"Fetch Booking Details","fetch booking details","fetch booking details","None","configured","TP","FM: 12112.22; RR: 12112.22","FM: 12112.22; RR: 12112.22"
"Fetch Booking Details","fetch booking details","fetch booking details","None","configured","TP","FM: 12112.22; RR: 12112.22","FM: 12112.22; RR: 12112.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22"
"fetch flight details","book flight","fetch booking details","None","configured","FP","ML: 0.9634823962370985; FM: 8330; RR: 10398.89","ML: 0.01822305398709283; FM: 8830; RR: 8830"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","FM: 12312.22; RR: 12312.22","FM: 12312.22; RR: 12312.22"
"Fetch Booking Details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12112.22; RR: 12112.22","ML: 0.9974730467356652; FM: 12112.22; RR: 12112.22"
"fetch booking detils","fetch booking details","fetch booking details","None","configured","TP","ML: 0.16033281046791045; FM: 12282.22; RR: 12282.22","ML: 0.16033281046791045; FM: 12282.22; RR: 12282.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","FM: 12312.22; RR: 12312.22","FM: 12312.22; RR: 12312.22"
"Fetch booking Details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22"
"Fetch Booking Details","fetch booking details","fetch booking details","None","configured","TP","FM: 12112.22; RR: 12112.22","FM: 12112.22; RR: 12112.22"
"Fetch Booking Details","fetch booking details","fetch booking details","None","configured","TP","FM: 12112.22; RR: 12112.22","FM: 12112.22; RR: 12112.22"
